step,action
6,28
7,28
0,9
1,1
2,39
3,39
4,39
5,14
6,28
7,39
0,23
1,9
2,14
3,28
4,28
5,28
6,28
7,39
0,1
1,9
2,1
3,39
4,14
5,14
0,23
1,9
2,39
3,9
4,14
5,14
0,1
1,9
2,26
3,14
4,28
5,14
0,1
1,9
2,39
3,28
4,14
0,1
1,1
2,9
3,39
4,39
5,28
6,14
7,14
8,39
9,39
0,9
1,28
2,28
3,28
4,39
0,1
1,9
2,39
3,39
4,28
0,1
1,1
2,9
3,14
4,14
5,39
6,39
0,9
1,1
2,39
3,39
4,14
5,39
6,14
7,39
0,1
1,9
2,1
3,14
4,39
5,39
6,39
7,39
8,39
9,39
10,37
11,28
0,1
1,9
2,39
3,26
4,39
5,39
6,28
7,39
0,1
1,26
2,9
3,14
4,39
5,39
6,39
7,14
0,9
1,28
0,9
1,28
2,28
3,28
4,28
5,28
6,28
7,39
8,39
0,9
1,1
2,39
3,9
4,14
5,39
6,14
7,14
8,28
0,1
1,38
2,9
3,39
4,28
5,28
6,28
7,39
0,1
1,9
2,39
3,28
4,28
5,14
6,39
7,28
8,28
9,28
0,23
1,9
2,1
3,39
4,14
5,14
6,39
7,39
8,39
9,39
0,1
1,9
2,14
3,9
4,39
5,39
6,39
7,39
0,9
1,1
2,26
3,9
4,14
5,28
6,39
7,39
0,1
1,9
2,1
3,39
4,39
5,39
0,1
1,9
2,39
3,28
4,39
5,39
6,39
7,28
0,1
1,26
2,14
3,28
4,14
5,14
6,14
7,39
0,23
1,38
2,9
3,39
4,39
5,39
6,14
7,14
8,39
0,9
1,1
2,9
3,14
4,14
5,14
0,9
1,1
2,39
3,39
4,28
5,28
6,14
7,28
8,39
9,28
10,28
11,39
12,39
0,1
1,9
2,39
3,39
4,14
5,28
6,39
7,14
0,1
1,9
2,39
3,28
4,39
0,1
1,9
2,14
3,9
4,39
5,39
6,39
0,23
1,9
2,1
3,14
4,39
5,28
6,39
7,39
8,39
0,1
1,9
2,37
3,14
4,14
0,9
1,1
2,1
0,23
1,24
2,28
3,14
4,14
5,14
0,9
1,28
2,28
3,28
4,14
0,9
1,1
2,24
3,14
4,39
5,14
6,39
0,1
1,9
2,14
3,14
4,28
5,28
6,39
7,39
8,39
9,39
10,39
0,1
1,9
2,9
3,39
4,39
5,14
6,14
7,28
8,39
9,39
10,39
0,23
1,9
2,39
3,39
4,14
5,28
6,14
7,39
8,39
9,39
10,28
11,39
0,9
1,1
2,1
3,14
4,14
5,39
0,23
1,9
2,1
3,1
4,9
5,28
6,39
7,39
8,28
9,39
0,1
1,14
2,9
3,24
4,39
5,28
6,14
0,9
1,1
2,14
3,14
4,14
5,39
6,39
0,23
1,9
2,39
3,28
4,14
5,14
6,14
7,39
0,1
1,14
2,6
3,39
4,14
5,28
0,23
1,9
2,38
3,28
4,1
5,39
6,38
7,39
8,39
0,9
1,1
2,39
3,39
4,39
5,28
6,28
7,28
8,28
0,23
1,9
2,14
3,39
4,28
5,28
6,28
7,28
8,39
9,39
0,9
1,1
2,39
3,39
4,39
5,28
6,14
0,1
1,9
2,39
3,28
4,28
5,39
6,28
7,28
8,39
9,39
10,39
11,39
0,1
1,9
2,14
3,9
4,14
5,28
6,28
7,28
0,9
1,1
2,39
3,39
4,14
0,1
1,9
2,14
3,14
4,14
5,39
6,14
7,14
0,1
1,38
2,9
3,28
4,39
5,39
6,28
7,14
8,39
0,23
1,9
2,39
3,14
4,39
5,39
6,39
0,9
1,28
2,28
3,28
0,9
1,1
2,14
3,28
4,14
5,14
6,39
7,28
8,14
0,9
1,1
2,26
3,28
4,28
5,39
6,28
7,14
0,1
1,9
2,14
3,9
4,39
5,28
6,28
7,39
8,28
0,23
1,9
2,39
3,39
4,14
5,39
6,39
7,14
0,1
1,9
2,39
3,28
4,39
5,14
0,1
1,1
2,9
3,39
4,28
5,39
6,28
7,39
0,23
1,9
2,1
3,14
4,14
5,14
6,39
7,39
0,1
1,9
2,39
3,39
4,14
0,23
1,9
2,14
3,14
4,14
5,28
6,39
7,28
0,1
1,39
2,23
3,9
4,28
5,14
6,14
7,39
8,39
9,14
10,39
11,14
12,39
13,39
14,14
15,14
16,39
17,39
0,9
1,1
2,39
3,14
4,28
5,14
0,1
1,27
2,9
3,28
4,14
5,14
0,23
1,27
2,9
3,39
4,39
5,39
6,14
7,39
8,28
0,23
1,9
2,26
3,39
4,39
5,39
6,39
0,9
1,1
2,1
3,14
4,14
5,28
0,23
1,9
2,38
3,14
4,39
5,14
0,23
1,1
2,9
3,27
4,9
5,14
6,39
7,28
8,14
9,14
0,1
1,38
2,28
3,9
0,1
1,9
2,37
3,28
4,14
0,23
1,9
2,39
3,9
4,14
5,39
6,14
7,28
8,28
9,28
10,14
0,23
1,9
2,9
3,39
4,14
5,39
6,14
7,28
8,39
9,14
10,39
11,39
12,39
0,1
1,14
2,9
3,39
4,14
5,14
6,39
0,9
1,1
2,14
3,26
4,14
5,28
0,1
1,9
2,39
3,39
4,3
5,28
6,28
7,39
8,39
9,39
10,39
11,39
12,39
13,39
0,1
1,9
2,39
3,39
4,28
5,28
6,28
7,14
8,39
9,28
10,39
11,39
0,23
1,9
2,1
3,39
4,39
5,39
6,39
7,14
8,39
9,39
10,14
0,1
1,9
2,27
3,28
4,14
5,39
6,39
7,28
8,39
0,1
1,9
2,9
3,1
4,39
5,39
6,39
7,39
8,39
9,39
10,28
11,28
0,9
1,1
2,39
3,28
4,14
5,39
6,28
0,1
1,9
2,27
3,39
4,14
5,39
6,28
7,28
8,14
0,9
1,1
2,1
3,1
4,39
5,39
6,26
7,28
8,39
9,28
10,14
11,39
12,39
0,23
1,9
2,9
3,14
4,14
5,39
6,28
7,28
0,23
1,27
2,14
3,14
4,14
0,23
1,9
2,9
3,39
4,28
5,28
6,14
7,39
8,39
9,39
10,39
11,39
12,39
13,39
0,23
1,9
2,27
3,9
4,14
5,39
6,14
7,28
8,28
0,23
1,9
2,1
3,39
4,14
5,28
6,14
7,14
8,28
0,1
1,9
2,39
3,39
4,28
5,28
6,39
7,28
8,39
9,39
10,39
11,39
12,39
0,1
1,9
2,39
3,1
4,28
5,28
6,14
7,14
0,1
1,9
2,9
3,39
4,14
5,39
6,39
7,28
0,1
1,9
2,39
3,28
4,28
0,1
1,9
2,1
3,39
4,14
5,39
6,14
7,39
0,9
1,1
2,1
3,39
4,39
5,14
6,27
7,14
8,39
0,1
1,9
2,39
3,14
4,14
0,1
1,9
2,39
3,14
4,14
5,14
0,1
1,9
2,9
3,39
4,28
5,39
6,28
7,28
0,1
1,14
2,9
3,28
4,28
5,39
6,28
7,39
8,39
9,39
0,9
1,1
2,39
3,14
4,28
0,1
1,9
2,14
3,39
4,14
5,39
0,1
1,9
2,28
3,28
4,28
5,28
6,39
7,39
0,1
1,9
2,39
3,26
4,28
5,14
6,39
7,39
0,9
1,1
2,39
3,39
4,14
5,28
6,14
7,39
0,23
1,9
2,39
3,39
0,1
1,9
2,1
3,39
4,28
5,39
6,28
7,28
8,39
0,9
1,1
2,39
3,28
4,14
0,23
1,9
2,26
3,1
4,39
5,28
6,14
7,28
8,14
9,39
10,28
0,1
1,9
2,38
3,14
0,1
1,9
2,28
3,28
4,28
5,28
6,14
7,39
0,1
1,9
2,14
3,28
4,14
0,23
1,38
2,9
3,14
4,39
5,14
6,39
7,14
8,28
9,14
10,39
0,1
1,1
2,9
3,28
4,39
5,39
6,39
0,1
1,1
0,9
1,1
2,28
3,28
4,28
5,28
6,39
7,28
8,28
9,28
10,39
11,39
0,1
1,9
2,39
3,39
4,39
5,39
6,39
0,1
1,26
2,9
3,14
4,39
5,14
6,28
0,1
1,9
2,38
3,1
4,28
5,39
0,1
1,9
2,39
3,39
4,28
5,39
6,39
0,23
1,9
2,28
3,28
4,14
5,39
6,28
7,39
0,1
1,24
2,9
3,28
4,28
5,28
6,28
0,1
1,9
2,1
3,9
4,28
5,14
6,14
0,9
1,1
2,39
3,39
4,39
5,39
6,28
7,39
8,39
0,23
1,38
2,9
3,28
4,14
0,23
1,9
2,1
3,14
4,28
5,14
6,39
0,23
1,9
2,39
3,38
4,14
5,14
6,14
0,23
1,38
2,9
3,1
4,39
5,14
6,39
7,28
8,14
9,39
10,39
11,39
12,39
13,39
0,1
1,24
2,9
3,14
4,14
5,39
6,39
7,14
0,23
1,9
2,9
3,39
4,39
5,28
0,23
1,23
2,9
3,39
4,14
5,14
0,23
1,9
2,38
3,39
4,14
5,28
6,14
7,39
8,39
9,39
0,23
1,9
2,1
3,9
0,23
1,9
2,39
3,39
4,28
0,23
1,9
2,39
3,28
4,28
5,28
6,28
7,39
0,23
1,9
2,9
0,1
1,9
2,39
3,9
4,39
5,28
6,39
7,39
8,39
0,1
1,1
2,9
3,14
4,14
5,39
6,28
7,28
8,28
0,23
1,38
2,9
3,39
4,14
5,14
6,39
7,28
8,39
0,1
1,38
2,9
3,14
4,39
5,14
0,1
1,39
2,9
3,39
4,39
5,14
6,14
7,14
0,1
1,38
2,9
3,38
4,28
5,14
6,14
7,39
8,39
9,39
0,9
1,1
2,1
3,26
4,39
5,14
6,14
7,39
8,14
9,39
0,23
1,9
2,1
3,39
4,14
5,14
6,39
7,39
8,39
9,39
0,23
1,9
2,39
3,28
4,39
5,39
6,39
0,9
1,28
2,28
3,28
4,28
0,1
1,9
2,39
3,39
4,14
5,39
6,39
7,39
8,39
0,9
1,1
2,39
3,39
4,39
5,39
0,23
1,9
2,39
3,39
4,39
5,39
6,39
0,1
1,9
2,1
3,39
4,39
5,39
6,39
7,14
0,9
1,1
2,28
3,28
4,14
5,28
6,28
7,39
8,39
9,28
10,39
11,39
0,23
1,9
2,1
3,39
4,28
5,14
0,23
1,1
2,28
3,9
4,14
5,28
6,39
0,1
1,1
2,9
3,26
4,9
5,39
6,39
7,14
8,39
9,14
0,9
1,1
2,1
3,38
4,14
5,14
6,28
7,39
8,14
9,39
10,39
11,39
0,23
1,9
2,1
3,14
4,14
5,39
6,39
7,28
8,39
9,39
10,39
11,39
0,1
1,1
0,23
1,9
2,1
3,39
4,39
5,28
0,9
1,1
2,1
3,39
4,39
5,28
6,28
7,28
8,39
0,23
1,9
2,39
3,28
4,14
5,14
6,39
7,39
8,39
9,28
0,1
1,9
2,1
3,39
4,14
5,28
6,28
7,28
8,14
9,1
0,9
1,1
2,28
3,28
4,39
5,39
6,28
7,14
8,39
9,28
10,28
11,39
12,39
0,23
1,38
2,9
3,1
4,39
5,28
0,23
1,9
2,14
3,28
4,28
5,39
6,28
7,28
8,39
9,39
10,39
11,39
0,23
1,9
2,39
3,14
4,39
5,14
6,28
7,39
8,14
9,39
10,39
0,23
1,1
2,38
3,39
4,14
5,28
6,14
7,14
8,39
0,23
1,9
2,1
3,39
4,14
5,14
6,14
0,23
1,9
2,38
3,39
4,39
5,28
6,39
7,39
8,14
0,23
1,9
2,39
3,28
4,28
5,39
0,23
1,9
2,39
3,23
4,14
5,39
6,28
7,14
8,14
9,14
0,23
1,23
2,9
3,1
4,9
0,23
1,14
2,9
3,14
4,39
0,23
1,9
2,14
3,39
4,39
5,39
6,14
7,39
0,1
1,9
2,39
3,39
4,39
5,39
0,1
1,1
2,9
3,26
4,39
5,39
6,14
7,39
8,39
9,39
0,23
1,9
2,7
3,39
4,39
5,39
6,39
0,23
1,14
2,9
3,1
0,9
1,1
2,39
3,39
4,28
5,28
0,1
1,1
2,9
3,38
4,1
5,28
6,28
7,28
8,28
9,39
10,39
0,1
1,9
2,1
3,39
4,39
5,39
6,39
7,28
0,23
1,38
2,9
3,39
4,28
5,14
0,1
1,1
2,9
3,26
4,14
5,28
6,39
0,9
1,1
2,1
3,39
4,39
5,39
6,39
0,1
1,9
2,14
3,28
4,39
5,39
6,14
7,39
8,28
9,39
10,39
0,1
1,9
2,1
3,14
4,39
5,14
6,39
7,39
8,28
9,39
10,39
0,9
1,1
2,1
3,14
4,28
5,28
6,14
0,1
1,26
2,9
3,28
4,14
5,28
6,14
0,9
1,1
0,9
1,1
2,39
3,28
4,28
5,28
6,39
0,23
1,9
2,39
3,1
4,39
5,14
6,37
7,39
8,39
9,39
0,23
1,1
2,9
3,28
4,28
5,28
6,39
7,28
8,39
9,28
0,1
1,1
2,9
3,28
4,39
5,39
6,14
7,28
8,14
0,1
1,9
2,1
3,39
4,39
5,39
0,23
1,9
2,38
3,9
4,14
5,39
6,14
7,39
8,39
9,28
10,39
11,39
12,39
13,39
0,23
1,9
2,1
3,39
4,39
5,39
6,28
7,28
8,28
0,1
1,9
2,14
3,39
4,28
5,39
6,28
7,39
8,28
0,23
1,9
2,24
3,39
4,39
5,38
6,14
7,39
8,39
0,1
1,9
2,1
3,24
4,14
5,39
6,39
7,39
0,23
1,1
2,9
3,26
4,26
5,39
6,39
7,14
8,39
0,23
1,9
2,9
3,27
4,14
5,14
6,39
7,39
8,39
9,28
10,28
11,39
0,1
1,9
2,1
3,14
4,39
5,14
0,1
1,9
2,1
3,14
4,28
5,14
0,9
1,1
2,28
3,28
4,28
5,39
0,1
1,9
2,1
3,14
4,28
0,1
1,9
2,14
3,9
4,14
5,14
6,24
0,23
1,26
2,9
3,39
4,14
5,28
6,39
7,39
0,1
1,9
2,9
3,14
4,28
5,28
6,39
7,28
0,1
1,27
2,9
3,24
4,28
5,28
6,28
7,14
8,14
9,39
0,23
1,23
2,14
3,28
4,1
0,1
1,9
2,1
3,36
4,26
5,28
6,14
0,1
1,9
2,38
3,9
4,28
5,14
6,28
7,39
0,23
1,1
2,9
3,39
4,39
5,39
6,14
7,39
8,39
9,39
10,39
11,39
12,39
13,39
14,39
15,14
16,14
17,39
0,23
1,38
2,39
3,28
4,39
0,23
1,14
2,9
3,9
4,39
5,14
6,39
7,39
0,23
1,9
2,38
3,28
4,28
5,14
6,28
7,28
8,28
9,28
10,39
0,1
1,9
2,24
3,39
4,39
5,39
6,14
0,1
1,1
2,9
3,39
4,14
5,14
6,28
7,28
8,14
9,28
10,39
0,23
1,1
2,9
3,14
4,39
5,28
6,39
7,39
0,23
1,9
2,39
3,1
0,23
1,9
2,9
0,1
1,9
2,38
3,1
4,9
5,39
6,28
7,39
8,39
9,39
0,23
1,38
2,14
3,14
4,14
5,39
6,39
7,39
0,1
1,1
2,9
3,39
4,14
5,39
6,39
7,39
8,39
9,28
10,39
11,39
12,39
13,39
14,39
0,23
1,9
2,27
3,39
4,14
0,23
1,9
2,9
3,14
4,14
5,39
6,39
7,39
8,39
9,28
0,1
1,39
2,9
3,1
4,39
5,39
0,1
1,9
2,9
3,14
4,28
5,14
6,28
7,28
8,14
0,1
1,24
2,38
3,28
4,28
5,39
6,39
0,1
1,24
2,9
3,39
4,38
5,28
0,1
1,9
2,14
3,28
4,39
5,14
0,1
1,38
2,9
3,17
4,38
5,28
6,39
7,28
8,28
9,28
0,23
1,38
2,9
3,39
4,28
5,14
6,28
0,1
1,1
2,1
3,9
4,39
5,28
6,14
7,39
8,39
9,39
0,23
1,26
2,9
3,28
4,9
5,14
6,39
7,28
8,39
9,28
10,14
11,39
12,39
13,39
14,39
15,39
0,23
1,9
2,14
3,26
4,39
5,39
0,23
1,9
2,39
3,39
4,39
5,39
0,23
1,9
2,24
3,38
4,14
5,14
6,39
7,39
8,39
9,28
0,1
1,9
2,1
3,14
4,39
0,1
1,9
2,1
3,39
4,39
5,39
6,39
7,39
8,28
9,39
10,39
11,39
12,14
13,39
0,1
1,1
2,26
3,9
4,28
5,14
6,39
7,39
8,39
0,1
1,9
2,26
3,9
4,14
5,14
6,39
7,39
8,39
0,9
1,1
2,39
3,39
4,39
5,28
6,28
7,28
8,39
0,1
1,9
2,39
3,9
4,14
5,28
6,28
7,28
0,1
1,9
2,1
3,39
4,28
5,28
6,14
7,39
8,14
0,1
1,9
2,9
3,39
4,39
5,28
6,14
0,23
1,9
2,38
3,24
4,9
5,14
6,39
7,39
8,39
0,23
1,9
2,38
3,39
4,39
5,39
6,39
7,39
8,39
0,1
1,9
2,38
3,14
4,14
5,39
6,39
0,23
1,38
2,23
3,14
4,39
5,24
6,39
7,39
0,1
1,38
2,9
3,39
4,39
0,9
1,1
2,23
0,23
1,38
2,9
3,39
4,38
5,39
6,28
7,39
8,39
9,39
0,23
1,9
2,14
3,39
4,39
5,39
6,14
7,28
0,1
1,9
2,1
3,1
4,14
5,39
6,28
7,39
8,39
9,14
10,39
11,39
0,9
1,1
2,38
3,28
4,24
5,39
6,28
7,28
0,1
